name_score,number_features,train,valid
accuracy,1,0.9985777907002131,0.9985799892390659
precision,1,0.8601136987707662,0.8641503267973857
recall,1,0.21382760699216394,0.21570918532943847
f1,1,0.3423296658339269,0.34305094306643574
roc_auc,1,0.9494157208013139,0.9494059526926352
accuracy,2,0.9992339412609507,0.9992262470508114
precision,2,0.8976390101301286,0.8980568115107023
recall,2,0.6294293751255776,0.6241804608893217
f1,2,0.7398983892219182,0.7356728531954764
roc_auc,2,0.9609798926770903,0.9606743471878495
accuracy,3,0.9993471464988252,0.9993537404487608
precision,3,0.9181851529540846,0.9190013387939382
recall,3,0.6840004018485031,0.6876338851022397
f1,3,0.7839295026544632,0.7860358288030833
roc_auc,3,0.958625829265273,0.9582553175427458
accuracy,4,0.9993537409924231,0.9993537405453992
precision,4,0.9144330176344037,0.9167434205139123
recall,4,0.6916154309825195,0.6902304446608245
f1,4,0.7875208502386221,0.7868827344139727
roc_auc,4,0.9585447634140962,0.9581744868304858
accuracy,5,0.9993284621365373,0.9993185697195962
precision,5,0.9010621720319196,0.9029922641829458
recall,5,0.6878079164155114,0.6800389483933789
f1,5,0.7800720764465237,0.7751546173298184
roc_auc,5,0.9760866619783727,0.9753537974505193
accuracy,6,0.9993394529350408,0.9993405512199669
precision,6,0.9005390669429889,0.9021642437373879
recall,6,0.6954229455495279,0.6952612788055826
f1,6,0.7847149711923881,0.7843858194479509
roc_auc,6,0.9760331002726128,0.9753390160971792
accuracy,7,0.999483432428053,0.9994812337500715
precision,7,0.9340827911590992,0.9348521534962213
recall,7,0.7550733373518184,0.7537163258682246
f1,7,0.835061926869205,0.8338200680324039
roc_auc,7,0.9786296422051046,0.9778303775287187
accuracy,8,0.9994966213850492,0.9994944226889494
precision,8,0.9347006795758682,0.935625963020031
recall,8,0.7626863572433192,0.7613112625770854
f1,8,0.8399425081660503,0.8385168065376559
roc_auc,8,0.9790194799515429,0.9782057216289027
accuracy,9,0.9994834324220131,0.9994768372760479
precision,9,0.9341014350314595,0.9321391467727675
recall,9,0.7550693188667872,0.7536838688737423
