name_score,number_features,train,valid
accuracy,1,0.9983711636617825,0.9983777581408844
precision,1,1.0,1.0
recall,1,0.059651312415948295,0.06343974092065695
f1,1,0.11249842308748338,0.1192267594672775
roc_auc,1,0.8020723038109261,0.80209159357585
accuracy,2,0.998949279663066,0.9989536759824675
precision,2,0.9013227513227514,0.8941210185867519
recall,2,0.44167900231232887,0.44920579844243963
f1,2,0.5922621093934749,0.5972418608710832
roc_auc,2,0.9470286157740224,0.9463238816001563
accuracy,3,0.9993669300061988,0.9993845152838045
precision,3,0.91708663168491,0.921608779832464
recall,3,0.698004044156774,0.705663505281826
f1,3,0.7922385888343335,0.798252884948909
roc_auc,3,0.9583733810878742,0.9568086343025141
accuracy,4,0.9994922251091386,0.9994856306300366
precision,4,0.9345191715458195,0.9343371030264235
recall,4,0.7601708607861918,0.7563998766288842
f1,4,0.8382659154957383,0.8356869351847381
roc_auc,4,0.955437572630999,0.9545560615954276
accuracy,5,0.9995076122270435,0.9995032159076421
precision,5,0.935229466943022,0.935171896252521
recall,5,0.7690573631710834,0.7665587169403963
f1,5,0.8438477895158233,0.8419942492187013
roc_auc,5,0.9540797340970898,0.952706802405186
accuracy,6,0.9994988195882408,0.9994988195882407
precision,6,0.9348282444872268,0.9349415204678362
recall,6,0.763977979663116,0.7640334644151437
f1,6,0.84066831464642,0.8404608579818512
roc_auc,6,0.9560350720481713,0.9551962805585691
accuracy,7,0.9995010177479414,0.9994988195882408
precision,7,0.934908409126708,0.9348615649742315
recall,7,0.7652599193103647,0.7640912946256458
f1,7,0.8414471462343802,0.8401146435875545
roc_auc,7,0.9780438848839051,0.9778593608384242
accuracy,8,0.9994944232688393,0.9994988195882407
precision,8,0.934600556517065,0.9348881581618155
recall,8,0.7614576379415435,0.7640720178888118
f1,8,0.8389322252812618,0.8402891873334205
roc_auc,8,0.9791860663735777,0.9785165240562899
accuracy,9,0.9994856306300365,0.9994856306300365
precision,9,0.9341855952120587,0.9343013408845956
recall,9,0.7563830919416791,0.7564577068393863
f1,9,0.8356808372303992,0.8351317382263846
roc_auc,9,0.9792506498320627,0.9787964524218044
accuracy,10,0.9994922251091386,0.9994900269494379
precision,10,0.9345045740681415,0.9345183014812791
recall,10,0.7601853733105003,0.7589829593646388
f1,10,0.8381418676444311,0.8369814467375442
roc_auc,10,0.9784736188682347,0.9781923541406702
accuracy,11,0.9995054140673428,0.9994988195882407
precision,11,0.935126317246,0.9348881581618155
recall,11,0.7677850985400401,0.7640720178888118
f1,11,0.8431241186709223,0.8402891873334205
roc_auc,11,0.9785320949899191,0.9779721049119705
accuracy,12,0.9995142067061457,0.9995032159076421
precision,12,0.9355234812580785,0.9350880582117904
recall,12,0.7728596445399046,0.7666165471508983
f1,12,0.8463587019503137,0.8418142633129252
roc_auc,12,0.9790392909630142,0.9781796352991895
accuracy,13,0.99949662142854,0.999490026949438
precision,13,0.9347155676768156,0.9289178213091257
recall,13,0.7627153900482783,0.7640720178888118
f1,13,0.8398631446503787,0.8379954985990538
roc_auc,13,0.9793473608691278,0.9781703698460453
accuracy,14,0.9994988195882407,0.9994856306300365
precision,14,0.934816211799199,0.92871441424073
recall,14,0.7639828171712187,0.7615274886267253
f1,14,0.8406943322548418,0.8364579730197165
roc_auc,14,0.9794364988760925,0.9782287990577244
accuracy,15,0.9995054140673428,0.9995032159076421
precision,15,0.9365187150848401,0.9322536020870312
recall,15,0.7665273464333054,0.7691610764129848
f1,15,0.8428655859506923,0.842295473987821
roc_auc,15,0.9787414072738198,0.9770418992409845
accuracy,16,0.9995076122270435,0.9994988195882408
precision,16,0.9338988780205719,0.9266970288440687
recall,16,0.7703296278021267,0.7716863289382374
f1,16,0.8441605351559321,0.8416994909137404
roc_auc,16,0.9778618930888073,0.9767323096135109
accuracy,17,0.99949662142854,0.999490026949438
precision,17,0.9306208033786509,0.9238234656256777
recall,17,0.7665321839414081,0.7691417996761508
f1,17,0.8405015686324294,0.839000435583106
roc_auc,17,0.9778592230110368,0.9762175210921948
accuracy,18,0.9995010177479414,0.9994988195882408
precision,18,0.9322081049659525,0.9269196212592439
recall,18,0.7677996110643486,0.7716863289382374
f1,18,0.8419110119023379,0.8416587269180164
roc_auc,18,0.9784343978756537,0.9767686734344637
accuracy,19,0.9995098103867442,0.9995076122270435
precision,19,0.9353386991085889,0.932658706592067
recall,19,0.7703441403264351,0.7716284987277353
f1,19,0.8446452188744339,0.8441377117412232
roc_auc,19,0.9825578743962144,0.98158575771298
