name_score,number_features,train,valid
accuracy,1,0.9985843851527502,0.9985755925139473
precision,1,0.8604142139947767,0.8557989078822411
recall,1,0.21827804061571807,0.21308504896291156
f1,1,0.3481239844556064,0.34002946759268715
roc_auc,1,0.949422580481877,0.9494411652060611
accuracy,2,0.9992438330629597,0.9992218514659527
precision,2,0.8991377703983635,0.89747667134237
recall,2,0.6345504503720044,0.6218675302644768
f1,2,0.74385067051103,0.734440459447386
roc_auc,2,0.9611615584938903,0.9603244097924852
accuracy,3,0.999342750249491,0.9993493447285932
precision,3,0.9179647542671133,0.9185596824375981
recall,3,0.6815033040180342,0.6853072711851338
f1,3,0.7820260590497324,0.7846815710571168
roc_auc,3,0.9586894943985204,0.9582645874712877
accuracy,4,0.9993559392076953,0.9993449484091919
precision,4,0.9146034457340105,0.9128516084867706
recall,4,0.692914985632601,0.6878518004472203
f1,4,0.7882619321109331,0.7839655895379615
roc_auc,4,0.9585419965651649,0.958398489837526
accuracy,5,0.9993273631315862,0.9993273631315862
precision,5,0.9004573170731707,0.901103230890465
recall,5,0.6878452771408391,0.6878710771840543
f1,5,0.7797289394719801,0.7795284585242744
roc_auc,5,0.9756793946422643,0.9764196424988064
accuracy,6,0.9993383539300896,0.9993273631315862
precision,6,0.9012595232649804,0.8984015594541911
recall,6,0.694192087771747,0.6904156064461408
f1,6,0.7841100841525415,0.780243010645601
roc_auc,6,0.9758828341370437,0.9759945318644213
accuracy,7,0.9994768379912338,0.9994812343106351
precision,7,0.9337927781525749,0.934124527003784
recall,7,0.7512940334175059,0.7538939008404658
f1,7,0.832486337325887,0.8337687563929134
roc_auc,7,0.9786547828112212,0.97833722260093
accuracy,8,0.9994944232688393,0.9994988195882407
precision,8,0.934600556517065,0.9348881581618155
recall,8,0.7614576379415435,0.7640720178888118
f1,8,0.8389322252812618,0.8402891873334205
roc_auc,8,0.9791860663735777,0.9785165240562899
accuracy,9,0.9994812343106352,0.999490026949438
precision,9,0.9339969796370662,0.9344917082936951
recall,9,0.7538337251714896,0.7590022361014728
f1,9,0.8341354668810669,0.8368069029916781
roc_auc,9,0.979336827306907,0.9792121660955067
accuracy,10,0.9994878287897372,0.999490026949438
precision,10,0.9342902347690311,0.9317040508871778
recall,10,0.7576505190646193,0.7615274886267253
f1,10,0.8365263399828783,0.8373547981610692
roc_auc,10,0.9800661031123316,0.9795328877063442
accuracy,11,0.9995164048658461,0.999490026949438
precision,11,0.9356263195962109,0.9344785147411062
recall,11,0.774127071662845,0.7590022361014728
f1,11,0.8471514972095121,0.8369427350560602
roc_auc,11,0.979937693755042,0.9791505452950124
accuracy,12,0.9995142067061457,0.9995032159076421
precision,12,0.9355234812580785,0.9350880582117904
recall,12,0.7728596445399046,0.7666165471508983
f1,12,0.8463587019503137,0.8418142633129252
roc_auc,12,0.9790392909630142,0.9781796352991895
accuracy,13,0.9995098103867441,0.9995032159076421
precision,13,0.935322844756072,0.9351013909837439
recall,13,0.7703199527859209,0.7666165471508983
f1,13,0.8447689731370597,0.8416802077406058
roc_auc,13,0.9788631293711628,0.9776528763056369
accuracy,14,0.9995208011852476,0.999512008546445
precision,14,0.9358174197873111,0.9355279777693571
recall,14,0.7766716009249315,0.7716670522014034
f1,14,0.8487289465425253,0.8451702920926829
roc_auc,14,0.9789460938867993,0.9775032686904005
accuracy,15,0.99949662142854,0.9994988195882407
precision,15,0.9347041752003108,0.9321637426900585
recall,15,0.7627250650644841,0.7665779936772305
f1,15,0.8397741147741148,0.8409515247134397
roc_auc,15,0.9786167789063501,0.97706197326999
accuracy,16,0.9994988195882407,0.9994988195882407
precision,16,0.9348017356329376,0.9324295269947444
recall,16,0.7639924921874245,0.7665779936772305
f1,16,0.8406410687581567,0.8409351890129071
roc_auc,16,0.9790414656871483,0.9774448684646272
accuracy,17,0.99949662142854,0.999490026949438
precision,17,0.9306208033786509,0.9238234656256777
recall,17,0.7665321839414081,0.7691417996761508
f1,17,0.8405015686324294,0.839000435583106
roc_auc,17,0.9778592230110368,0.9762175210921948
accuracy,18,0.9995208011852478,0.9995208011852478
precision,18,0.9371208550621075,0.9359310910582445
recall,18,0.7754041738019911,0.7767175572519084
f1,18,0.848550469926696,0.8485777762787734
roc_auc,18,0.9826988626250196,0.9811466398130243
accuracy,19,0.9995229993449484,0.9995295938240506
precision,19,0.9359104918315445,0.9363535045778036
recall,19,0.7779487030640776,0.7817873390392475
f1,19,0.8494380842877164,0.8516117975313273
roc_auc,19,0.9820154325718118,0.9804342913986893
accuracy,20,0.9995208011852478,0.9995251975046492
precision,20,0.9358014915367857,0.9361570216227001
